2025-01-23 00:53:00,244 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 00:53:00,266 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-23 00:53:00,273 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-23 00:53:01,594 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 00:56:25,186 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-23 00:56:25,197 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 00:56:25,205 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 00:56:25,231 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-23 00:56:25,237 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-23 00:56:28,249 - 🟢 ATTACK SUCCESS: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 00:56:29,518 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 01:00:51,340 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: banners, Site: 5001
2025-01-23 01:00:51,346 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
2025-01-23 01:00:51,353 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: cart, Component: notifications, Site: 5001
2025-01-23 01:00:51,359 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: cart, Component: adslots, Site: 5001
2025-01-23 01:00:51,366 - 🔵 ATTACK SHOWN: Category: normal, Type: data-harvesting, Source: cart, Component: invisible, Site: 5001
2025-01-23 01:00:54,503 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: cart, Component: popups, Site: 5001
