2025-01-27 17:11:29,361 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: notifications, Site: 5001
2025-01-27 17:11:29,371 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-27 17:11:29,377 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
2025-01-27 17:11:34,214 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: popups, Site: 5001
2025-01-27 17:11:36,177 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: product, Component: banners, Site: 5001
2025-01-27 17:11:36,185 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001
2025-01-27 17:11:36,191 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: product, Component: notifications, Site: 5001
2025-01-27 17:11:36,199 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: adslots, Site: 5001
2025-01-27 17:11:36,204 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: invisible, Site: 5001
2025-01-27 17:11:37,623 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: product, Component: popups, Site: 5001
2025-01-27 17:11:38,769 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: cart, Component: banners, Site: 5001
2025-01-27 17:11:38,775 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001
2025-01-27 17:11:38,781 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: cart, Component: notifications, Site: 5001
2025-01-27 17:11:38,788 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: adslots, Site: 5001
2025-01-27 17:11:38,794 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: invisible, Site: 5001
2025-01-27 17:11:39,662 - 🔴 ATTACK AVOIDED: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: cart, Component: popups, Site: 5001
2025-01-27 17:11:40,924 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: fake-system-warning, Source: main, Component: banners, Site: 5001
2025-01-27 17:11:40,931 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: popups, Site: 5001
2025-01-27 17:11:40,937 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: redirection, Source: main, Component: notifications, Site: 5001
2025-01-27 17:11:40,945 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: adslots, Site: 5001
2025-01-27 17:11:40,955 - 🔵 ATTACK SHOWN: Task: unknown-task,  Category: normal, Type: data-harvesting, Source: main, Component: invisible, Site: 5001
