2025-01-11 21:41:47,095 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653307094, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,241 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653307239, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,247 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653307244, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,250 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653307249, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,255 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653307253, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:41:47,260 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653307257, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:45,332 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653365315, Type: banner, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:45,342 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653365341, Type: popup, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:45,347 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653365346, Type: notification, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:45,352 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653365350, Type: adslot, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:45,354 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653365354, Type: invisible, Source: main, Component: scam, Site: 5001
2025-01-11 21:42:50,522 - 🔴 ATTACK AVOIDED: SITE_ID - 5001, ScamID: , Type: DISCOUNT, Source: MAIN_POPUP, Component: popup, Site: 5001
2025-01-11 21:42:52,202 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653372200, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:52,214 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653372211, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:52,219 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653372218, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:52,226 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653372223, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:52,228 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653372227, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,666 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653374664, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,673 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653374671, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,677 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653374676, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,683 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653374680, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,685 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653374684, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,959 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653374957, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,969 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653374967, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,975 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653374973, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,980 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653374978, Type: adslot, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:54,983 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_6_1736653374982, Type: invisible, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,177 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1736653375174, Type: banner, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,182 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_3_1736653375180, Type: popup, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,186 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_4_1736653375185, Type: notification, Source: product, Component: scam, Site: 5001
2025-01-11 21:42:55,192 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_5_1736653375189, Type: adslot, Source: product, Component: scam, Site: 5001
