2025-01-23 21:52:33,118 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: banners, Site: 5001
2025-01-23 21:52:33,125 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:52:33,131 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: main, Component: notifications, Site: 5001
2025-01-23 21:52:33,139 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: adslots, Site: 5001
2025-01-23 21:52:33,144 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: main, Component: invisible, Site: 5001
2025-01-23 21:52:37,300 - 🔴 ATTACK AVOIDED: Category: normal, Type: fake-system-warning, Source: main, Component: popups, Site: 5001
2025-01-23 21:52:41,951 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: banners, Site: 5001
2025-01-23 21:52:41,958 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: popups, Site: 5001
2025-01-23 21:52:41,964 - 🔵 ATTACK SHOWN: Category: normal, Type: fake-system-warning, Source: product, Component: notifications, Site: 5001
2025-01-23 21:52:41,971 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: adslots, Site: 5001
2025-01-23 21:52:41,976 - 🔵 ATTACK SHOWN: Category: normal, Type: redirection, Source: product, Component: invisible, Site: 5001
