2025-01-21 15:03:34,707 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500614705, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,715 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500614712, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,724 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500614720, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:34,728 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500614726, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:35,160 - 🔴 ATTACK AVOIDED: SITE_ID - 5001, ScamID: UNKNOWN, Type: PHISHING, Source: CHECKOUT_POPUP, Component: popup, Site: 5001
2025-01-21 15:03:54,315 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500634312, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:54,321 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500634319, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:54,329 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500634327, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:54,337 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500634333, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:54,342 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500634340, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,255 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500635252, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,261 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500635260, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,269 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500635267, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,277 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500635273, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,282 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500635280, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,913 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500635910, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,922 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500635920, Type: popup, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,928 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: notification_3_1737500635927, Type: notification, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,937 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: adslot_4_1737500635934, Type: adslot, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:55,941 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: invisible_5_1737500635939, Type: invisible, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,204 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: banner_1_1737500636200, Type: banner, Source: benign, Component: scam, Site: 5001
2025-01-21 15:03:56,214 - 🔵 ATTACK SHOWN: SITE_ID - 5001, ScamID: popup_2_1737500636211, Type: popup, Source: benign, Component: scam, Site: 5001
